,X.1,X,EcoliGeneName,EcoliLocus,NP_Ecoli,EcoliProtein,EcoliProteinCluster,SalmonellaProtein,SalmonellaCluster,NP_Salmonella,SalmonellaGeneName,SalmonellaLocus,State
851,971,2014,gnd,b2029,NP_416533,WP_000043484.1,PCLA_213114,WP_000043530.1,PCLA_213114,NP_461026,gnd,STM2081,MATCH
852,972,2023,rfbC,b2038,NP_416542,WP_001100981.1,PCLA_894272,WP_000973708.1,PCLA_894272,NP_461039,rfbC,STM2094,MATCH
853,973,2024,rfbA,b2039,NP_416543,WP_000783975.1,PCLA_864773,WP_000857529.1,PCLA_864773,NP_461040,rfbA,STM2095,MATCH
854,975,2027,galF,b2042,NP_416546,WP_000183060.1,PCLA_5004386,WP_000981469.1,PCLA_5004386,NP_461043,galF,STM2098,MATCH
855,976,2028,wcaM,b2043,NP_416547,WP_001116026.1,PCLA_430405,WP_001111841.1,PCLA_430405,NP_461044,wcaM,STM2099,MATCH
856,978,2030,wcaK,b2045,NP_416549,WP_000770780.1,PCLA_430308,WP_000770904.1,PCLA_430308,NP_461046,wcaK,STM2101,MATCH
857,979,2031,wzxC,b2046,NP_416550,WP_000058424.1,PCLA_430717,WP_000058682.1,PCLA_430717,NP_461047,wzxC,STM2102,MATCH
858,980,2032,wcaJ,b2047,NP_416551,WP_000183107.1,PCLA_430406,WP_000183155.1,PCLA_430406,NP_461048,wcaJ,STM2103,MATCH
859,981,2033,cpsG,b2048,NP_416552,WP_001350528.1,PCLA_2912524,WP_000164218.1,PCLA_2912524,NP_461049,cpsG,STM2104,MATCH
860,982,2034,manC,b2049,NP_416553,WP_000079274.1,PCLA_2912570,WP_000605938.1,PCLA_2912570,NP_461050,manC,STM2105,MATCH
861,983,2035,wcaI,b2050,NP_416554,WP_000699693.1,PCLA_430577,WP_000699632.1,PCLA_430577,NP_461051,wcaI,STM2106,MATCH
862,984,2037,wcaG,b2052,NP_416556,WP_000043654.1,PCLA_2846267,WP_001041701.1,PCLA_2846267,NP_461053,wcaG,STM2108,MATCH
863,985,2038,gmd,b2053,NP_416557,WP_000048190.1,PCLA_2944743,WP_000048160.1,PCLA_2944743,NP_461054,gmd,STM2109,MATCH
864,986,2039,wcaF,b2054,NP_416558,WP_001153547.1,PCLA_430752,WP_001153603.1,PCLA_430752,NP_461055,wcaF,STM2110,MATCH
865,988,2042,wcaC,b2057,NP_416561,WP_001023871.1,PCLA_430407,WP_001023826.1,PCLA_430407,NP_461058,wcaC,STM2113,MATCH
866,990,2044,wcaA,b2059,NP_416563,WP_000794699.1,PCLA_430309,WP_000205695.1,PCLA_430309,NP_461060,wcaA,STM2115,MATCH
867,991,2049,asmA,b2064,NP_416568,WP_001252331.1,PCLA_431068,WP_001252270.1,PCLA_431068,NP_461065,asmA,STM2120,MATCH
868,992,2050,dcd,b2065,NP_416569,WP_001234768.1,PCLA_3033314,WP_001234783.1,PCLA_3033314,NP_461066,dcd,STM2121,MATCH
869,993,2052,yegE,b2067,NP_416571,WP_000043761.1,PCLA_430087,WP_000042954.1,PCLA_430087,NP_461068,yegE,STM2123,MATCH
870,995,2064,yegB,b2077,NP_416581,WP_000130850.1,PCLA_430754,WP_000137816.1,PCLA_430754,NP_461074,yegB,STM2129,MATCH
871,996,2065,baeS,b2078,NP_416582,WP_000675150.1,PCLA_430797,WP_000870070.1,PCLA_430797,NP_461075,baeS,STM2130,MATCH
872,997,2066,baeR,b2079,NP_416583,WP_000137877.1,PCLA_430950,WP_000137854.1,PCLA_430950,NP_461076,baeR,STM2131,MATCH
873,998,2068,yegQ,b2081,NP_416585,WP_000476011.1,PCLA_2912562,WP_001517981.1,PCLA_2912562,NP_461080,yegQ,STM2136,MATCH
874,999,2072,yegS,b2086,NP_416590,WP_000807348.1,PCLA_858748,WP_001273389.1,PCLA_858748,NP_461084,yegS,STM2140,MATCH
875,1003,2083,yegT,b2098,NP_416601,WP_000858484.1,PCLA_880286,WP_000858692.1,PCLA_880286,NP_461086,yegT,STM2142,MATCH
876,1004,2084,yegU,b2099,NP_416602,WP_000846217.1,PCLA_880287,WP_000642793.1,PCLA_880287,NP_461087,yegU,STM2143,MATCH
877,1005,2085,yegV,b2100,NP_416603,WP_000012001.1,PCLA_880288,WP_001012658.1,PCLA_880288,NP_461088,yegV,STM2144,MATCH
878,1007,2088,thiD,b2103,NP_416606,WP_000822274.1,PCLA_417728,WP_001188957.1,PCLA_417728,NP_461090,thiD,STM2146,MATCH
882,1013,2099,metG,b2114,NP_416617,WP_001350533.1,PCLA_414031,WP_000195332.1,PCLA_414031,NP_461099,metG,STM2155,MATCH
883,1014,2108,yehS,b2124,NP_416628,WP_000950409.1,PCLA_880302,WP_000950413.1,PCLA_880302,NP_461102,yehS,STM2157,MATCH
884,1015,2110,yehU,b2126,NP_416630,WP_001295431.1,PCLA_874073,WP_000272845.1,PCLA_874073,NP_461104,yehU,STM2159,MATCH
885,1016,2111,yehV,b2127,NP_416631,WP_001240401.1,PCLA_2301693,WP_001240418.1,PCLA_2301693,NP_461105,yehV,STM2160,MATCH
886,1018,2114,yehX,b2129,NP_416633,WP_000569315.1,PCLA_880306,WP_000569166.1,PCLA_880306,NP_461108,yehX,STM2163,MATCH
887,1019,2115,yehY,b2130,NP_416634,WP_000220837.1,PCLA_880307,WP_001278110.1,PCLA_880307,NP_461109,yehY,STM2164,MATCH
888,1021,2117,bglX,b2132,NP_416636,WP_000871504.1,PCLA_2846213,WP_000871560.1,PCLA_2846213,NP_461111,bglX,STM2166,MATCH
889,1022,2118,dld,b2133,NP_416637,WP_000097403.1,PCLA_431372,WP_000095232.1,PCLA_431372,NP_461112,dld,STM2167,MATCH
890,1023,2122,yohF,b2137,NP_416641,WP_000079538.1,PCLA_624714,WP_000169608.1,PCLA_624714,NP_461116,yohF,STM2171,MATCH
891,1024,2125,yohI,b2140,NP_416645,WP_001264861.1,PCLA_430798,WP_001264832.1,PCLA_430798,NP_461119,yohI,STM2174,MATCH
892,1025,2126,yohJ,b2141,NP_416646,WP_001295452.1,PCLA_415093,WP_000045719.1,PCLA_415093,NP_461126,yohJ,STM2181,MATCH
893,1026,2127,yohK,b2142,NP_416647,WP_000968208.1,PCLA_430951,WP_000989296.1,PCLA_430951,NP_461127,yohK,STM2182,MATCH
894,1027,2128,cdd,b2143,NP_416648,WP_000553555.1,PCLA_419427,WP_000553526.1,PCLA_419427,NP_461128,cdd,STM2183,MATCH
895,1028,2129,sanA,b2144,NP_416649,WP_000920064.1,PCLA_431069,WP_000920081.1,PCLA_431069,NP_461129,sanA,STM2184,MATCH
896,1031,2133,mglC,b2148,NP_416653,WP_001275118.1,PCLA_213281,WP_001275101.1,PCLA_213281,NP_461133,mglC,STM2188,MATCH
897,1032,2134,mglA,b2149,NP_416654,WP_000255039.1,PCLA_3525121,WP_000535907.1,PCLA_3525121,NP_461134,mglA,STM2189,MATCH
898,1033,2135,mglB,b2150,NP_416655,WP_001036964.1,PCLA_2912505,WP_001036943.1,PCLA_2912505,NP_461135,mglB,STM2190,MATCH
899,1034,2137,yeiB,b2152,NP_416657,WP_000440926.1,PCLA_431070,WP_001526153.1,PCLA_431070,NP_461137,yeiB,STM2192,MATCH
900,1035,2138,folE,b2153,NP_416658,WP_001139613.1,PCLA_213163,WP_001139611.1,PCLA_213163,NP_461138,folE,STM2193,MATCH
901,1036,2139,yeiG,b2154,NP_416659,WP_000425438.1,PCLA_879655,WP_000425488.1,PCLA_879655,NP_461139,yeiG,STM2194,MATCH
902,1037,2140,cirA,b2155,NP_416660,WP_000489247.1,PCLA_430349,WP_000488255.1,PCLA_430349,NP_461144,cirA,STM2199,MATCH
903,1038,2141,lysP,b2156,NP_416661,WP_000253273.1,PCLA_431071,WP_000535000.1,PCLA_431071,NP_461145,lysP,STM2200,MATCH
904,1039,2142,yeiE,b2157,NP_416662,WP_000548294.1,PCLA_431072,WP_000548308.1,PCLA_431072,NP_461146,yeiE,STM2201,MATCH
905,1040,2143,yeiH,b2158,NP_416663,WP_000182053.1,PCLA_880316,WP_000137960.1,PCLA_880316,NP_461147,yeiH,STM2202,MATCH
906,1041,2144,nfo,b2159,NP_416664,WP_000873894.1,PCLA_414533,WP_000873909.1,PCLA_414533,NP_461148,nfo,STM2203,MATCH
907,1042,2152,fruA,b2167,NP_416672,WP_000854447.1,PCLA_430952,WP_000854414.1,PCLA_430952,NP_461149,fruA,STM2204,MATCH
908,1044,2154,fruF,b2169,NP_416674,WP_000487246.1,PCLA_431314,WP_000487287.1,PCLA_431314,NP_461151,fruF,STM2206,MATCH
909,1045,2159,yeiR,b2173,NP_416678,WP_000198828.1,PCLA_880319,WP_000169350.1,PCLA_880319,NP_461156,yeiR,STM2212,MATCH
910,1046,2161,spr,b2175,NP_416680,WP_000241011.1,PCLA_431073,WP_000241015.1,PCLA_431073,NP_461158,spr,STM2214,MATCH
911,1047,2162,rtn,b2176,NP_416681,WP_000470560.1,PCLA_430799,WP_000957746.1,PCLA_430799,NP_461159,rtn,STM2215,MATCH
912,1048,2164,yejB,b2178,NP_416683,WP_000501604.1,PCLA_2846248,WP_000501623.1,PCLA_2846248,NP_461161,yejB,STM2217,MATCH
913,1049,2165,yejE,b2179,NP_416684,WP_000088923.1,PCLA_2846136,WP_001137764.1,PCLA_2846136,NP_461162,yejE,STM2218,MATCH
914,1050,2166,yejF,b2180,NP_416685,WP_000194927.1,PCLA_2846249,WP_000203622.1,PCLA_2846249,NP_461163,yejF,STM2219,MATCH
915,1051,2167,yejG,b2181,NP_416686,WP_000202798.1,PCLA_431847,WP_001094639.1,PCLA_431847,NP_461164,yejG,STM2220,MATCH
916,1052,2168,bcr,b2182,NP_416687,WP_000213361.1,PCLA_431307,WP_000213347.1,PCLA_431307,NP_461165,bcr,STM2221,MATCH
917,1053,2169,rsuA,b2183,NP_416688,WP_001234850.1,PCLA_431074,WP_001234836.1,PCLA_431074,NP_461166,rsuA,STM2222,MATCH
918,1054,2170,yejH,b2184,NP_416689,WP_000578061.1,PCLA_874467,WP_000578121.1,PCLA_874467,NP_461167,yejH,STM2223,MATCH
919,1055,2172,yejK,b2186,NP_416691,WP_000050793.1,PCLA_123216,WP_000050806.1,PCLA_123216,NP_461170,yejK,STM2226,MATCH
920,1056,2173,yejL,b2187,NP_416692,WP_001135667.1,PCLA_989512,WP_001135904.1,PCLA_989512,NP_461171,yejL,STM2227,MATCH
921,1057,2174,yejM,b2188,NP_416693,WP_000256203.1,PCLA_880324,WP_000256150.1,PCLA_880324,NP_461172,yejM,STM2228,MATCH
922,1058,2177,narP,b2193,NP_416697,WP_001113639.1,PCLA_430664,WP_001115498.1,PCLA_430664,NP_461189,narP,STM2246,MATCH
923,1059,2186,napC,b2202,NP_416706,WP_000528376.1,PCLA_430860,WP_000431778.1,PCLA_430860,NP_461198,napC,STM2255,MATCH
924,1060,2188,napH,b2204,NP_416708,WP_000013515.1,PCLA_419598,WP_000013529.1,PCLA_419598,NP_461200,napH,STM2257,MATCH
925,1062,2190,napA,b2206,NP_416710,WP_000778061.1,PCLA_859008,WP_000778097.1,PCLA_859008,NP_461202,napA,STM2259,MATCH
926,1064,2192,napF,b2208,NP_416712,WP_000686723.1,PCLA_430473,WP_000228070.1,PCLA_430473,NP_461204,napF,STM2261,MATCH
927,1065,2193,eco,b2209,NP_416713,WP_000849209.1,PCLA_416065,WP_000781589.1,PCLA_416065,NP_461205,eco,STM2262,MATCH
928,1066,2195,yojI,b2211,NP_416715,WP_000422182.1,PCLA_430770,WP_000421590.1,PCLA_430770,NP_461206,yojI,STM2263,MATCH
929,1067,2196,alkB,b2212,NP_416716,WP_000884971.1,PCLA_3275202,WP_000884990.1,PCLA_3275202,NP_461207,alkB,STM2264,MATCH
930,1068,2197,ada,b2213,NP_416717,WP_000710375.1,PCLA_2912545,WP_000975956.1,PCLA_2912545,NP_461208,ada,STM2265,MATCH
931,1069,2198,apbE,b2214,NP_416718,WP_000406064.1,PCLA_430719,WP_000784307.1,PCLA_430719,NP_461209,apbE,STM2266,MATCH
932,1070,2199,ompC,b2215,NP_416719,WP_000865568.1,PCLA_5554051,WP_000865526.1,PCLA_5554051,NP_461210,ompC,STM2267,MATCH
933,1071,2200,yojN,b2216,NP_416720,WP_001249081.1,PCLA_430861,WP_000083201.1,PCLA_430861,NP_461211,yojN,STM2269,MATCH
934,1072,2201,rcsB,b2217,NP_416721,WP_001061917.1,PCLA_431075,WP_001061919.1,PCLA_431075,NP_461212,rcsB,STM2270,MATCH
935,1073,2214,gyrA,b2231,NP_416734,WP_001281242.1,PCLA_3010261,WP_001281271.1,PCLA_3010261,NP_461214,gyrA,STM2272,MATCH
936,1074,2215,ubiG,b2232,NP_416735,WP_000990765.1,PCLA_209019,WP_001091009.1,PCLA_209019,NP_461218,ubiG,STM2276,MATCH
937,1075,2217,nrdA,b2234,NP_416737,WP_001075164.1,PCLA_419463,WP_001076487.1,PCLA_419463,NP_461219,nrdA,STM2277,MATCH
938,1076,2218,nrdB,b2235,NP_416738,WP_000332037.1,PCLA_428901,WP_000332026.1,PCLA_428901,NP_461220,nrdB,STM2278,MATCH
939,1077,2219,yfaE,b2236,NP_416739,WP_000135040.1,PCLA_430953,WP_000533921.1,PCLA_430953,NP_461221,yfaE,STM2279,MATCH
940,1078,2222,glpQ,b2239,NP_416742,WP_000779105.1,PCLA_431340,WP_000858952.1,PCLA_431340,NP_461224,glpQ,STM2282,MATCH
941,1079,2223,glpT,b2240,NP_416743,WP_000948731.1,PCLA_431429,WP_000948739.1,PCLA_431429,NP_461225,glpT,STM2283,MATCH
942,1080,2224,glpA,b2241,NP_416744,WP_000857257.1,PCLA_431306,WP_000857294.1,PCLA_431306,NP_461226,glpA,STM2284,MATCH
943,1081,2225,glpB,b2242,NP_416745,WP_001209927.1,PCLA_209205,WP_000667146.1,PCLA_209205,NP_461227,glpB,STM2285,MATCH
944,1082,2226,glpC,b2243,NP_416746,WP_001000379.1,PCLA_431358,WP_001285726.1,PCLA_431358,NP_461228,glpC,STM2286,MATCH
946,1084,2232,yfaX,b2248,NP_416751,WP_000894185.1,PCLA_880340,WP_000894170.1,PCLA_880340,NP_461234,yfaX,STM2292,MATCH
948,1086,2235,yfaO,b2251,NP_416754,WP_001300564.1,PCLA_2912582,WP_001249900.1,PCLA_2912582,NP_461237,yfaO,STM2295,MATCH
949,1087,2236,ais,b2252,NP_416755,WP_000879112.1,PCLA_2912526,WP_000879248.1,PCLA_2912526,NP_461238,ais,STM2296,MATCH
950,1088,2238,pmrF,b2254,NP_416757,WP_000461657.1,PCLA_430954,WP_000458893.1,PCLA_430954,NP_461240,pmrF,STM2298,MATCH
951,1089,2239,yfbG,b2255,NP_416758,WP_000860273.1,PCLA_211961,WP_000648776.1,PCLA_211961,NP_461241,yfbG,STM2299,MATCH
952,1091,2241,pqaB,b2257,NP_416760,WP_000844057.1,PCLA_858685,WP_000978038.1,PCLA_858685,NP_461243,pqaB,STM2301,MATCH
953,1092,2245,menE,b2260,NP_416763,WP_000577625.1,PCLA_212858,WP_000144677.1,PCLA_212858,NP_461247,menE,STM2305,MATCH
954,1093,2246,menC,b2261,NP_416764,WP_001255628.1,PCLA_417033,WP_001255561.1,PCLA_417033,NP_461248,menC,STM2306,MATCH
955,1095,2249,menD,b2264,NP_416767,WP_001295284.1,PCLA_211288,WP_000116392.1,PCLA_211288,NP_461251,menD,STM2309,MATCH
956,1096,2251,elaB,b2266,NP_416769,WP_000070621.1,PCLA_5502575,WP_001242981.1,PCLA_5502575,NP_461253,elaB,STM2311,MATCH
957,1097,2255,yfbK,b2270,NP_416773,WP_001244806.1,PCLA_891769,WP_000931746.1,PCLA_891769,NP_461257,yfbK,STM2315,MATCH
958,1098,2262,nuoM,b2277,NP_416780,WP_000926441.1,PCLA_840522,WP_000926431.1,PCLA_840522,NP_461259,nuoM,STM2317,MATCH
959,1099,2263,nuoL,b2278,NP_416781,WP_001056643.1,PCLA_417855,WP_001056582.1,PCLA_417855,NP_461260,nuoL,STM2318,MATCH
960,1101,2265,nuoJ,b2280,NP_416783,WP_000393511.1,PCLA_417898,WP_000393522.1,PCLA_417898,NP_461262,nuoJ,STM2320,MATCH
961,1104,2269,nuoF,b2284,NP_416787,WP_000789500.1,PCLA_989422,WP_000800048.1,PCLA_989422,NP_461266,nuoF,STM2324,MATCH
962,1106,2272,nuoB,b2287,NP_416790,WP_000386733.1,PCLA_3230052,WP_000386728.1,PCLA_3230052,NP_461269,nuoB,STM2327,MATCH
963,1107,2274,lrhA,b2289,NP_416792,WP_000622280.1,PCLA_2846207,WP_000606288.1,PCLA_2846207,NP_461272,lrhA,STM2330,MATCH
964,1108,2275,yfbQ,b2290,NP_416793,WP_000074527.1,PCLA_213092,WP_000074540.1,PCLA_213092,NP_461273,yfbQ,STM2331,MATCH
965,1110,2277,yfbS,b2292,NP_416795,WP_001012899.1,PCLA_868267,WP_001012861.1,PCLA_868267,NP_461275,yfbS,STM2333,MATCH
967,1112,2281,ackA,b2296,NP_416799,WP_000095707.1,PCLA_414062,WP_000095689.1,PCLA_414062,NP_461279,ackA,STM2337,MATCH
968,1113,2282,pta,b2297,NP_416800,WP_000086722.1,PCLA_417217,WP_000086692.1,PCLA_417217,NP_461280,pta,STM2338,MATCH
970,1115,2286,yfcF,b2301,NP_416804,WP_000042442.1,PCLA_2846228,WP_000043010.1,PCLA_2846228,NP_461290,yfcF,STM2348,MATCH
971,1116,2289,yfcH,b2304,NP_416807,WP_001028341.1,PCLA_2300856,WP_001166274.1,PCLA_2300856,NP_461292,yfcH,STM2350,MATCH
972,1117,2291,hisP,b2306,NP_416809,WP_001293613.1,PCLA_430862,WP_000986775.1,PCLA_430862,NP_461293,hisP,STM2351,MATCH
973,1118,2292,hisM,b2307,NP_416810,WP_000569958.1,PCLA_2846184,WP_000569771.1,PCLA_2846184,NP_461294,hisM,STM2352,MATCH
974,1120,2296,ubiX,b2311,NP_416814,WP_000825700.1,PCLA_417439,WP_000825682.1,PCLA_417439,NP_461298,ubiX,STM2356,MATCH
975,1121,2297,purF,b2312,NP_416815,WP_000334220.1,PCLA_213073,WP_000334204.1,PCLA_213073,NP_461304,purF,STM2362,MATCH
976,1122,2298,cvpA,b2313,NP_416816,WP_000262111.1,PCLA_431079,WP_000262102.1,PCLA_431079,NP_461305,cvpA,STM2363,MATCH
977,1123,2300,folC,b2315,NP_416818,WP_000584546.1,PCLA_431080,WP_000792275.1,PCLA_431080,NP_461307,folC,STM2365,MATCH
978,1124,2301,accD,b2316,NP_416819,WP_000118404.1,PCLA_209499,WP_000118383.1,PCLA_209499,NP_461308,accD,STM2366,MATCH
979,1125,2302,dedA,b2317,NP_416820,WP_000364335.1,PCLA_431081,WP_000364318.1,PCLA_431081,NP_461309,dedA,STM2367,MATCH
980,1127,2304,usg,b2319,NP_416822,WP_001289167.1,PCLA_418767,WP_001289141.1,PCLA_418767,NP_461311,usg,STM2369,MATCH
981,1128,2305,pdxB,b2320,NP_416823,WP_000699148.1,PCLA_2912548,WP_000699178.1,PCLA_2912548,NP_461312,pdxB,STM2370,MATCH
982,1129,2306,flk,b2321,NP_416824,WP_000615834.1,PCLA_430955,WP_000553395.1,PCLA_430955,NP_461313,flk,STM2371,MATCH
983,1130,2308,fabB,b2323,NP_416826,WP_000817178.1,PCLA_211804,WP_000817161.1,PCLA_211804,NP_461320,fabB,STM2378,MATCH
984,1131,2310,yfcL,b2325,NP_416828,WP_000559764.1,PCLA_874682,WP_000559749.1,PCLA_874682,NP_461322,yfcL,STM2380,MATCH
985,1133,2312,yfcA,b2327,NP_416830,WP_000447361.1,PCLA_430864,WP_000368599.1,PCLA_430864,NP_461324,yfcA,STM2382,MATCH
986,1134,2313,mepA,b2328,NP_416831,WP_001043825.1,PCLA_419571,WP_000750428.1,PCLA_419571,NP_461325,mepA,STM2383,MATCH
987,1135,2314,aroC,b2329,NP_416832,WP_001333535.1,PCLA_209255,WP_000918456.1,PCLA_209255,NP_461326,aroC,STM2384,MATCH
988,1136,2316,yfcN,b2331,NP_416834,WP_000730806.1,PCLA_208839,WP_000730794.1,PCLA_208839,NP_461328,yfcN,STM2386,MATCH
992,1140,2324,sixA,b2340,NP_416842,WP_001195819.1,PCLA_431082,WP_001195800.1,PCLA_431082,NP_461329,sixA,STM2387,MATCH
993,1141,2325,yfcX,b2341,NP_416843,WP_000426176.1,PCLA_431350,WP_000214154.1,PCLA_431350,NP_461330,yfcX,STM2388,MATCH
994,1143,2330,vacJ,b2346,NP_416848,WP_000776765.1,PCLA_2846206,WP_000776787.1,PCLA_2846206,NP_461334,vacJ,STM2392,MATCH
995,1144,2349,dsdC,b2364,NP_416865,WP_001326971.1,PCLA_430369,WP_001541637.1,PCLA_430369,NP_462701,dsdC,STM3800,MATCH
996,1145,2350,dsdX,b2365,NP_416866,WP_000556048.1,PCLA_3572161,WP_000543314.1,PCLA_3572161,NP_462702,dsdX,STM3801,MATCH
997,1146,2351,dsdA,b2366,NP_416867,WP_000426427.1,PCLA_415609,WP_000427997.1,PCLA_415609,NP_462703,dsdA,STM3802,MATCH
998,1147,2365,yfdZ,b2379,NP_416880,WP_000785931.1,PCLA_212011,WP_000763118.1,PCLA_212011,NP_461343,yfdZ,STM2402,MATCH
999,1148,2374,glk,b2388,NP_416889,WP_000170346.1,PCLA_123131,WP_000170380.1,PCLA_123131,NP_461344,glk,STM2403,MATCH
1000,1150,2376,ypeC,b2390,NP_416891,WP_000490072.1,PCLA_880380,WP_000490091.1,PCLA_880380,NP_461348,ypeC,STM2407,MATCH
1001,1151,2377,mntH,b2392,NP_416893,WP_000186369.1,PCLA_414305,WP_000131735.1,PCLA_414305,NP_461349,mntH,STM2408,MATCH
1002,1152,2378,nupC,b2393,NP_416894,WP_000376337.1,PCLA_880382,WP_000376347.1,PCLA_880382,NP_461350,nupC,STM2409,MATCH
1003,1153,2383,gltX,b2400,NP_416899,WP_000695655.1,PCLA_124196,WP_000695623.1,PCLA_124196,NP_461354,gltX,STM2415,MATCH
1004,1154,2384,xapR,b2405,NP_416900,WP_000442949.1,PCLA_430279,WP_000438890.1,PCLA_430279,NP_461355,xapR,STM2420,MATCH
1005,1155,2386,xapA,b2407,NP_416902,WP_000084573.1,PCLA_2329162,WP_001119758.1,PCLA_2329162,NP_448816,xapA,STM2422,MATCH
1006,1156,2387,yfeN,b2408,NP_416903,WP_000716421.1,PCLA_431641,WP_000722926.1,PCLA_431641,NP_461358,yfeN,STM2423,MATCH
1007,1157,2388,yfeR,b2409,NP_416904,WP_001109794.1,PCLA_880925,WP_001109831.1,PCLA_880925,NP_461359,yfeR,STM2424,MATCH
1008,1158,2389,yfeH,b2410,NP_416905,WP_000765610.1,PCLA_864555,WP_000765569.1,PCLA_864555,NP_461360,yfeH,STM2425,MATCH
1009,1159,2391,lig,b2411,NP_416906,WP_000443661.1,PCLA_428897,WP_000433266.1,PCLA_428897,NP_461362,lig,STM2427,MATCH
1010,1160,2393,cysZ,b2413,NP_416908,WP_000254839.1,PCLA_3087326,WP_000255006.1,PCLA_3087326,NP_461364,cysZ,STM2429,MATCH
1011,1161,2394,cysK,b2414,NP_416909,WP_000034402.1,PCLA_867462,WP_000036904.1,PCLA_867462,NP_461365,cysK,STM2430,MATCH
1012,1162,2395,ptsH,b2415,NP_416910,WP_000487600.1,PCLA_431084,WP_000487600.1,PCLA_431084,NP_461366,ptsH,STM2431,MATCH
1013,1163,2396,ptsI,b2416,NP_416911,WP_000623140.1,PCLA_2967489,WP_000623114.1,PCLA_2967489,NP_461367,ptsI,STM2432,MATCH
1014,1164,2397,crr,b2417,NP_416912,WP_000522247.1,PCLA_213247,WP_000522253.1,PCLA_213247,NP_461368,crr,STM2433,MATCH
1015,1165,2398,pdxK,b2418,NP_416913,WP_000096674.1,PCLA_418837,WP_000529613.1,PCLA_418837,NP_461370,pdxK,STM2435,MATCH
1016,1166,2399,yfeK,b2419,NP_416914,WP_000719962.1,PCLA_430587,WP_000710730.1,PCLA_430587,NP_461373,yfeK,STM2438,MATCH
1017,1167,2401,cysM,b2421,NP_416916,WP_001336044.1,PCLA_431812,WP_001093886.1,PCLA_431812,NP_461375,cysM,STM2440,MATCH
1018,1168,2402,cysA,b2422,NP_416917,WP_000021036.1,PCLA_431085,WP_000021076.1,PCLA_431085,NP_461376,cysA,STM2441,MATCH
1019,1170,2405,cysP,b2425,NP_416920,WP_000290230.1,PCLA_431086,WP_000290275.1,PCLA_431086,NP_461379,cysP,STM2444,MATCH
1021,1172,2415,amiA,b2435,NP_416930,WP_000102886.1,PCLA_430588,WP_000102881.1,PCLA_430588,NP_461385,amiA,STM2450,MATCH
1022,1173,2416,hemF,b2436,NP_416931,WP_000801365.1,PCLA_209206,WP_000801350.1,PCLA_209206,NP_461386,hemF,STM2451,MATCH
1023,1174,2417,eutR,b2437,NP_416932,WP_000753690.1,PCLA_430412,WP_000753665.1,PCLA_430412,NP_461389,eutR,STM2454,MATCH
1024,1175,2419,eutL,b2439,NP_416934,WP_001111023.1,PCLA_2912515,WP_001111056.1,PCLA_2912515,NP_461391,eutL,STM2456,MATCH
1025,1176,2420,eutC,b2440,NP_416935,WP_000372316.1,PCLA_209335,WP_000372335.1,PCLA_209335,NP_461392,eutC,STM2457,MATCH
1026,1177,2431,eutA,b2451,NP_416946,WP_001097542.1,PCLA_430959,WP_001097535.1,PCLA_430959,NP_461394,eutA,STM2459,MATCH
1027,1178,2432,eutH,b2452,NP_416947,WP_000512372.1,PCLA_2846201,WP_000512359.1,PCLA_2846201,NP_461395,eutH,STM2460,MATCH
1028,1179,2435,eutE,b2455,NP_416950,WP_001075716.1,PCLA_2912508,WP_001075640.1,PCLA_2912508,NP_461398,eutE,STM2463,MATCH
1029,1181,2439,eutT,b2459,NP_416954,WP_000651298.1,PCLA_2846135,WP_000997656.1,PCLA_2846135,NP_461402,eutT,STM2467,MATCH
1030,1182,2440,eutQ,b2460,NP_416955,WP_000733906.1,PCLA_2912567,WP_000733867.1,PCLA_2912567,NP_461403,eutQ,STM2468,MATCH
1031,1184,2443,maeB,b2463,NP_416958,WP_000342644.1,PCLA_211071,WP_000344297.1,PCLA_211071,NP_461407,maeB,STM2472,MATCH
1032,1185,2447,yffH,b2467,NP_416962,WP_001300814.1,PCLA_2846124,WP_000084037.1,PCLA_2846124,NP_461412,yffH,STM2477,MATCH
1033,1186,2448,aegA,b2468,NP_416963,WP_001078880.1,PCLA_625167,WP_001078938.1,PCLA_625167,NP_461414,aegA,STM2479,MATCH
1034,1187,2449,narQ,b2469,NP_416964,WP_001300881.1,PCLA_431165,WP_000216821.1,PCLA_431165,NP_461415,narQ,STM2480,MATCH
1035,1188,2452,yffB,b2471,NP_416966,WP_000258236.1,PCLA_431087,WP_000631921.1,PCLA_431087,NP_461417,yffB,STM2482,MATCH
1036,1189,2453,dapE,b2472,NP_416967,WP_001277801.1,PCLA_4884903,WP_001277825.1,PCLA_4884903,NP_461418,dapE,STM2483,MATCH
1037,1190,2456,ypfI,b2474,NP_416969,WP_000829360.1,PCLA_2939826,WP_001279831.1,PCLA_2939826,NP_461420,ypfI,STM2485,MATCH
1039,1192,2458,purC,b2476,NP_416971,WP_001295467.1,PCLA_213178,WP_001171630.1,PCLA_213178,NP_461422,purC,STM2487,MATCH
1040,1193,2460,dapA,b2478,NP_416973,WP_001311023.1,PCLA_2307571,WP_000494020.1,PCLA_2307571,NP_461424,dapA,STM2489,MATCH
1041,1194,2462,bcp,b2480,NP_416975,WP_001068682.1,PCLA_419577,WP_001068686.1,PCLA_419577,NP_461426,bcp,STM2491,MATCH
1042,1195,2475,perM,b2493,NP_416988,WP_000892044.1,PCLA_866275,WP_000892056.1,PCLA_866275,NP_461428,perM,STM2493,MATCH
